vcf_id,temp_id,Koala ID,State,NSW ARKS,LGA,Latitude,Longitude
F_Alex_Monaro,Alex,956000005361231,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
M_Andrew_MBR,Andrew,3,QLD,NA,Moreton Bay,-27.2401227,153.0356654
F_Annie_Monaro,Annie,956000005352956,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
F_Annie_L_STHD,AnnieLennox,956000005796876,NSW,Southern Highlands,Wingecaribee,-34.4389427,150.5172117
F-Arya-STHD,Arya,956000006064364,NSW,Southern Highlands,Wollondilly,-34.1886716,150.7977808
F-Beach-RS-PTS,900079000648426,900079000648426,NSW,Port Stephens,Port Stephens,-32.712341,152.160763
M_Bear_Monaro,Bear,941000024094278,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F_Beyonce_STHD,Beyonce,956000005777709,NSW,Southern Highlands,Wingecaribee,-34.5015392,150.5156502
M_Bobby_MBR,Bobby,458,QLD,NA,Moreton Bay,-27.2664175,152.9943221
F-Brandy-Monaro,Brandy,956000005361780,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
M_Branson_MBR,Branson,523,QLD,NA,Moreton Bay,-27.2688101,152.9978985
F-Brienne-STHD,Brienne,956000005350055,NSW,Southern Highlands,Wollondilly,-34.1872392,150.7973407
F_Bron_Monaro,Bronwen,956000005359444,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F_Bubbles_MBR,Bubbles,23,QLD,NA,Moreton Bay,-27.221449,153.0684911
F-Bunzi-STHD,Bunzi,956000009448205,NSW,Southern Highlands,Wingecaribee,-34.4488934,150.5153392
M-Chaac-STHD,Chaac,956000009459445,NSW,Southern Highlands,Wingecaribee,-34.4615077,150.5198741
M_Clegane_STHD,Clegane,956000006302700,NSW,Southern Highlands,Wollondilly,-34.1877291,150.7960043
F_Coco_MBR,CoCo,16,QLD,NA,Moreton Bay,-27.2642777,152.9920188
F_CS_Monaro,CS,956000005345671,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
F-Daenery-STHD,Daenerys,956000006291640,NSW,Southern Highlands,Wollondilly,-34.2830657,150.704723
M_Dazza_MBR,Dazza,117,QLD,NA,Moreton Bay,-27.280609,152.9830955
M-DECC015-GUH,DECC015,DECC015,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
M-DECC076-GUH,DECC076,DECC076,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-DECC104-GUH,DECC104,DECC104,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-DECC130-GUH,DECC130,DECC130,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-DECC137F-GUH,DECC137F,DECC137F,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-DECC162-GUH,DECC162,DECC162,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
M_Doddy_MBR,Doddy,4,QLD,NA,Moreton Bay,-27.2385349,153.0309176
M_Drew_Monaro,Drew,956000005346877,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F-Eila-PTS,943094320625202,943094320625202,NSW,Port Stephens,Port Stephens,-32.734888,152.103344
M_Evan_Monaro,Evan,956000005369981,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F-Falia-F-STHD,FaliaFlowers,956000006064264,NSW,Southern Highlands,Wollondilly,-34.3154582,150.6145801
M-Galloping-PTS,943094320249609,943094320249609,NSW,Port Stephens,Port Stephens,-32.726253,152.079043
M-Gendry-STHD,Gendry,956000006294585,NSW,Southern Highlands,Wollondilly,-34.3113957,150.6069048
F-Gilchrist-PTS,900079000267958,900079000267958,NSW,Port Stephens,Port Stephens,-32.724646,152.075556
M_Hamish_Monaro,Hamish,941000024438404,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F_Hapi_STHD,Hapi,7CE391F,NSW,Southern Highlands,Wingecaribee,-34.4221857,150.605905
M-Howie-PTS,953010000652673,953010000652673,NSW,Port Stephens,Port Stephens,-32.699763,152.065329
F_Jadore_MBR,Jadore,317,QLD,NA,Moreton Bay,-27.2820704,153.0245841
M_Jett_Monaro,Jett,956000005368574,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
M-Jimmy-B-STHD,JimmyBarnes,956000005777523,NSW,Southern Highlands,Wingecaribee,-34.5013067,150.558202
F-Joanie-PTS,943094320131658,943094320131658,NSW,Port Stephens,Port Stephens,-32.736489,152.105333
F_Josie_MBR,Josie,198,QLD,NA,Moreton Bay,-27.2224665,153.05404
F_Julia_MBR,Julia,15,QLD,NA,Moreton Bay,-27.2631491,152.9913016
K2,K2,K2,NSW,South West Sydney,Campbelltown,-34.0610908615996,150.814017371942
M_Kenny_Monaro,Kenny,956000005340446,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
F_Lana_MBR,Lana,468,QLD,NA,Moreton Bay,-27.2584183,152.991807
F_Liv_NJ_STHD,OliviaNewtonJohn,956000005776454,NSW,Southern Highlands,Wollondilly,-34.2223648,150.7922585
F_Madona_Monaro,Madonna,941000024978413,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
M_Malu_Monaro,Malu,941000024094306,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
M_Matt_Monaro,Matthew,941000023900738,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F_Mia_Monaro,Mia,956000005361295,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
F-MidnightR-PTS,900079000715868,900079000715868,NSW,Port Stephens,Port Stephens,-32.726204,152.117738
F_Millie_MBR,Millie,515,QLD,NA,Moreton Bay,-27.2715183,152.9919374
M-Murray-Monaro,Murray,956000005373289,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
M-Qyburn-STHD,Qyburn,0006E4DBC4,NSW,Southern Highlands,Wollondilly,-34.2280706,150.7500367
M-Rhaegar-STHD,Rhaegar,0006E4D28B,NSW,Southern Highlands,Wollondilly,-34.2065116,150.7966113
F_Rizzo_MBR,Rizzo,524,QLD,NA,Moreton Bay,-27.268142,152.9997777
F_Sage_Monaro,Sage,956000005341166,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
M_SAWS01_HDS,SAWS1,SAWS1,VIC,NA,Highlands,-37.7206048,146.3885869
F-SAWS03-SHBS,SAWS3,SAWS3,VIC,NA,Strathbogies,-36.9,145.233333
F-SAWS04-SHBS,SAWS4,SAWS4,VIC,NA,Strathbogies,-36.5462177,145.963353
M_SAWS05_SHBS,SAWS5,SAWS5,VIC,NA,Strathbogies,-37.0868493,145.8615582
M-SAWS09-HDS,SAWS9,SAWS9,VIC,NA,Highlands,-36.8567727,145.5337363
F-SAWS10-SHBS,SAWS10,SAWS10,VIC,NA,Strathbogies,-37.9756695,146.3768277
M-SAWS12-HDS,SAWS12,SAWS12,VIC,NA,Highlands,-37.9756695,146.3768277
F_SAWS13_HDS,SAWS13,SAWS13,VIC,NA,Highlands,-37.9756695,146.3768277
M_SAWS17_SHGLD,SAWS17,SAWS17,VIC,NA,South Gippsland,-38.7043519,146.087727
F-SAWS21-FRIS,SAWS21,SAWS21,VIC,NA,French Island,-38.3489,145.3365
M-SAWS22-FRIS,SAWS22,SAWS22,VIC,NA,French Island,-38.3489,145.3365
F-SAWS23-SHGLD,SAWS23,SAWS23,VIC,NA,South Gippsland,-38.2281,147.3758
M-SAWS24-SHBS,SAWS24,SAWS24,VIC,NA,Strathbogies,-36.9107466,145.6002839
M_SAWS27_SHGLD,SAWS27,SAWS27,VIC,NA,South Gippsland,-38.299535,146.7056325
F_SAWS31_SHGLD,SAWS31,SAWS31,VIC,NA,South Gippsland,-33.9810153,151.0809356
M-SAWS32-SHBS,SAWS32,SAWS32,VIC,NA,Strathbogies,-36.8213209,145.6682696
M-SAWS33-SHGLD,SAWS33,SAWS33,VIC,NA,South Gippsland,-38.4740327,145.9436663
M-SAWS37-SHBS,SAWS37,SAWS37,VIC,NA,Strathbogies,-36.8488197,145.4080574
F-SES-Maree-PTS,900079000267949,900079000267949,NSW,Port Stephens,Port Stephens,-32.725648,152.104251
M-Solstice-PTS,900079000268035,900079000268035,NSW,Port Stephens,Port Stephens,-32.96373,151.479254
M-St-james-STHD,StJames,StJames,NSW,Southern Highlands,Wollondilly,-34.2079485,150.7847885
F_StevieN_STHD,StevieNicks,956000009499521,NSW,Southern Highlands,Wingecaribee,-34.5350333,150.2036964
F_Tahlia_Monaro,Tahlia,941000024438375,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
M-Tai-PTS,943094320626389,943094320626389,NSW,Port Stephens,Port Stephens,-32.768028,152.043826
M_Tallow_Monaro,Tallow,941000024438406,NSW,Southern Tablelands,Monaro,-36.0267360831415,149.408202817969
F_Tamara_O_MBR,TamaraO,173,QLD,NA,Moreton Bay,-27.2216582,153.065199
F_Tanja_MBR,Tanja,484,QLD,NA,Moreton Bay,-27.2191132,153.0381026
F_The_Hoff_MBR,TheHoff,21,QLD,NA,Moreton Bay,-27.2627158,152.9920997
M-USYD014-GUH,USYD014,USYD014,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
M-USYD040-GUH,USYD040,USYD040,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-USYD062F-GUH,USYD062F,USYD062F,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
F-USYD089F-GUH,USYD089F,USYD089F,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
M-USYD098M-GUH,USYD098M,USYD098M,NSW,Liverpool Plains,Gunnedah,-30.9855488893933,150.243011995726
M-Varys-STHD,Varys,0006E4EED3,NSW,Southern Highlands,Wollondilly,-34.2577664,150.6850297
M-Walter-STHD,Walter,0006D153EC,NSW,Southern Highlands,Wingecaribee,-34.5571483,150.6491722
M-Xavier-Monaro,Xavier,956000005345885,NSW,Southern Tablelands,Monaro,-36.1873326195473,149.350302958693
F-Yara-STHD,Yara,0006E4C0C7,NSW,Southern Highlands,Wollondilly,-34.1887745,150.7974852
